魁奇路	10.201.1.8
汉溪长隆      	10.101.5.8
鹤庄   	10.101.6.8
官堂      	10.101.7.8
南村    	10.101.8.8
大学城南      	10.101.9.8
浔峰岗	10.100.1.8
横沙	10.100.2.8
沙贝	10.100.3.8
河沙	10.100.4.8
坦尾	10.100.5.8
如意坊	10.100.6.8
黄沙	10.100.7.8
文化公园	10.100.8.8
一德路	10.100.9.8
海珠广场	10.100.10.8
北京路	10.100.11.8
团一大广场	10.100.12.8
东湖	10.100.13.8
东山口	10.100.14.8
区庄	10.100.15.8
黄花岗	10.100.16.8
沙河顶	10.100.17.8
天平架	10.100.19.8
天河客运站	10.100.21.8
长湴	10.100.22.8
植物园	10.100.23.8
龙洞	10.100.24.8
柯木塱	10.100.25.8
高塘石	10.100.26.8
黄陂	10.100.27.8
金峰	10.100.28.8
暹岗	10.100.29.8
苏元	10.100.30.8
萝岗	10.100.31.8
香雪	10.100.32.8
滘口	10.99.1.8
坦尾	10.99.2.8
中山八	10.99.3.8
西场	10.99.4.8
西村	10.99.5.8
广州火车站	10.99.6.8
小北	10.99.7.8
淘金	10.99.8.8
区庄	10.99.9.8
动物园	10.99.10.8
杨箕	10.99.11.8
五羊邨	10.99.12.8
珠江新城	10.99.13.8
猎德	10.99.14.8
潭村	10.99.15.8
员村	10.99.16.8
科韵路	10.99.17.8
车陂南	10.99.18.8
东圃	10.99.19.8
三溪	10.99.20.8
鱼珠	10.99.21.8
大沙地	10.99.22.8
大沙东	10.99.23.8
文冲	10.99.24.8
黄村       	10.98.5.8
车陂       	10.98.6.8
万胜围     	10.98.8.8
官洲       	10.98.9.8
大学城北   	10.98.10.8
大学城南   	10.98.11.8
新造       	10.98.12.8
石碁       	10.98.13.8
海傍       	10.98.14.8
低涌       	10.98.15.8
东涌       	10.98.16.8
黄阁汽车城 	10.98.17.8
黄阁       	10.98.18.8
蕉门       	10.98.19.8
金洲       	10.98.20.8
金隆       	10.98.21.8
广隆       	10.98.22.8
大涌     	10.98.23.8
塘坑	10.98.24.8
资讯园       	10.98.25.8
南沙客运港     	10.98.26.8
庆盛	10.98.27.8
广州东站	10.97.1.8
林和西	10.97.2.8
体育西路	10.97.3.8
珠江新城	10.97.4.8
广州塔	10.97.5.8
客村	10.97.6.8
大塘	10.97.7.8
沥滘	10.97.8.8
厦滘	10.97.9.8
大石	10.97.10.8
汉溪长隆	10.97.11.8
市桥	10.97.12.8
番禺广场	10.97.13.8
天河客运站	10.97.14.8
五山	10.97.15.8
华师	10.97.16.8
岗顶	10.97.17.8
石牌桥	10.97.18.8
嘉禾望岗	10.96.23.8
黄边	10.96.22.8
江夏	10.96.21.8
萧岗	10.96.20.8
白云文化广场	10.96.19.8
白云公园	10.96.18.8
飞翔公园	10.96.17.8
三元里	10.96.16.8
广州火车站	10.96.15.8
越秀公园	10.96.14.8
纪念堂	10.96.13.8
公园前	10.96.12.8
海珠广场	10.96.11.8
市二宫	10.96.10.8
江南西	10.96.9.8
昌岗	10.96.41.8
江泰路	10.96.42.8
东晓南	10.96.43.8
南洲	10.96.44.8
洛溪	10.96.45.8
南浦	10.96.46.8
会江	10.96.47.8
石壁	10.96.48.8
广州南站	10.96.49.8
西塱	10.95.1.8
坑口	10.95.2.8
花地湾	10.95.3.8
芳村	10.95.4.8
黄沙	10.95.5.8
长寿路	10.95.6.8
陈家祠	10.95.7.8
西门口	10.95.8.8
公园前	10.95.9.8
农讲所	10.95.10.8
烈士陵园	10.95.11.8
东山口	10.95.12.8
杨箕	10.95.13.8
体育西路	10.95.14.8
体育中心	10.95.15.8
广州东站	10.95.16.8
